109.0  -32.50  -32.7678
109.0  -27.50  -31.6631
109.0  -22.50  -30.7493
109.0  -17.50  -30.0226
109.0  -12.50  -29.4801
109.0  -7.50   -29.1197
109.0  -2.50   -28.9398
109.0  2.50    -28.9398
109.0  7.50    -29.1197
109.0  12.50   -29.4801
109.0  17.50   -30.0226
109.0  22.50   -30.7493
109.0  27.50   -31.6631
109.0  32.50   -32.7678
109.0  37.50   -34.0681
104.0  -37.50  -34.7606
104.0  -32.50  -33.4535
104.0  -27.50  -32.3433
104.0  -22.50  -31.4249
104.0  -17.50  -30.6947
104.0  -12.50  -30.1495
104.0  -7.50   -29.7873
104.0  -2.50   -29.6065
104.0  2.50    -29.6065
104.0  7.50    -29.7873
104.0  12.50   -30.1495
104.0  17.50   -30.6947
104.0  22.50   -31.4249
104.0  27.50   -32.3433
104.0  32.50   -33.4535
104.0  37.50   -34.7606
